Plate,Treatment,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
2,daf,42,83,87,36,2,2,14,9,0,3
4,daf,0,0,0,0,0,24,82,115,49,3
6,daf,20,40,28,16,13,5,9,6,5,1
8,ev,34,71,92,75,58,29,17,1,0,0
11,daf,30,65,58,45,32,30,19,3,1,5
13,ev,32,105,110,9,2,0,0,0,0,0
15,daf,17,29,22,8,8,5,3,2,2,2
17,daf,29,49,36,29,30,24,23,12,8,7
19,daf,29,64,62,40,31,34,22,6,1,0
22,daf,23,39,22,18,15,15,6,7,2,5
24,daf,25,80,89,76,36,23,2,2,0,0
26,daf,24,93,80,59,34,2,0,0,1,0
29,ev,24,103,98,82,14,1,0,0,0,0
31,daf,23,58,70,60,31,13,5,NA,NA,NA
34,daf,24,71,76,75,44,6,5,0,0,0
36,daf,26,56,70,83,67,11,0,0,0,0
38,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
40,ev,21,47,18,18,8,NA,NA,NA,NA,NA
42,daf,28,90,92,84,5,0,1,0,0,0
44,daf,23,60,76,86,42,17,3,0,0,0
47,daf,21,59,85,75,52,6,1,0,1,0
49,daf,26,69,71,61,60,NA,NA,NA,NA,NA
51,daf,16,57,71,66,54,40,15,1,1,0
54,ev,20,74,48,24,29,22,8,3,NA,NA
56,ev,24,58,40,21,24,16,16,NA,NA,NA
58,daf,18,74,91,88,51,3,4,0,0,1
61,ev,19,71,90,73,43,15,3,2,1,1
64,ev,25,60,42,55,41,24,12,2,1,3
66,ev,16,66,86,61,29,1,1,0,0,0
68,ev,21,98,113,12,1,0,0,0,0,0
70,daf,22,77,89,53,6,2,0,0,0,0
72,daf,21,66,76,57,14,3,1,0,1,0
75,daf,19,78,87,75,19,1,0,0,0,0
77,daf,14,43,56,48,48,37,27,9,6,0
80,ev,18,65,63,46,30,17,3,7,0,0
82,ev,21,73,85,72,19,1,0,1,0,0
84,ev,24,81,79,81,46,1,0,0,0,0
86,ev,14,86,105,63,0,0,0,2,0,0
88,daf,14,64,69,54,30,6,0,0,0,0
91,daf,17,55,60,57,53,23,19,7,1,1
93,ev,21,90,104,37,5,3,0,0,5,0
95,ev,10,90,70,66,33,19,4,0,0,0
97,daf,13,77,68,55,24,NA,NA,NA,NA,NA
99,daf,14,65,76,38,10,1,0,0,0,0
101,ev,12,80,71,67,50,10,2,0,0,0
104,ev,13,87,91,37,4,3,0,0,0,NA
106,ev,17,76,72,58,35,14,1,1,0,0
108,daf,10,42,51,55,63,36,14,3,3,1
110,daf,14,77,88,44,33,9,5,7,1,0
113,ev,12,78,98,98,21,6,1,0,0,NA
115,daf,14,74,94,82,66,23,0,1,0,0
117,ev,11,63,28,15,8,2,0,0,0,0
119,daf,12,65,88,81,46,13,3,0,0,0
121,ev,13,74,112,86,16,5,0,1,0,0
124,ev,13,67,90,67,4,0,0,0,0,0
126,ev,17,72,77,47,36,3,1,0,0,0
128,ev,13,61,60,58,52,38,14,10,4,9
131,ev,13,67,88,80,54,3,0,0,0,0
133,ev,13,70,72,52,50,16,1,0,0,0
135,ev,1,49,84,95,61,7,1,0,0,0
137,ev,6,63,93,61,26,1,1,0,1,0
140,ev,6,61,73,39,17,0,1,4,1,0
143,daf,9,56,79,61,51,9,0,0,0,0
145,ev,0,44,93,119,28,0,0,0,0,0
147,ev,8,63,56,58,32,16,7,2,3,0
149,ev,9,66,69,49,45,17,8,0,2,0
151,ev,0,31,59,40,21,11,6,1,0,0
154,ev,1,52,67,51,48,31,10,1,1,0
157,ev,10,70,99,100,42,1,0,0,1,0
159,ev,4,59,88,90,13,4,6,2,2,0
