Block,Treatment.ID,Plate.ID,Worm,Death.Date,Cause ,D1,Age ,Event,Exp,Inf
1,daf,1,1,20-Feb,M,16-Feb,4,1,0,0
1,daf,1,2,21-Feb,W,16-Feb,5,0,0,0
1,daf,1,3,21-Feb,L,16-Feb,5,0,0,0
1,daf,1,4,24-Feb,D,16-Feb,8,1,0,0
1,daf,1,5,25-Feb,E,16-Feb,9,0,1,0
1,daf,1,6,2-Mar,D,16-Feb,14,1,0,0
1,daf,1,7,7-Mar,D,16-Feb,19,1,0,0
1,ev,2,1,21-Feb,M,16-Feb,5,1,0,0
1,ev,2,2,3-Mar,D,16-Feb,15,1,0,0
1,ev,2,3,4-Mar,D,16-Feb,16,1,0,1
1,ev,2,4,5-Mar,D,16-Feb,17,1,0,1
1,ev,2,5,6-Mar,D,16-Feb,18,1,0,1
1,ev,2,6,7-Mar,D,16-Feb,19,1,0,1
1,ev,2,7,8-Mar,D,16-Feb,20,1,0,0
1,ev,2,8,8-Mar,D,16-Feb,20,1,0,0
1,ev,2,9,8-Mar,D,16-Feb,20,1,0,1
1,daf,3,1,21-Feb,M,16-Feb,5,1,0,0
1,daf,3,2,2-Mar,D,16-Feb,14,1,0,0
1,daf,3,3,5-Mar,D,16-Feb,17,1,0,0
1,daf,3,4,6-Mar,D,16-Feb,18,1,0,0
1,daf,3,5,6-Mar,D,16-Feb,18,1,0,0
1,daf,3,6,6-Mar,D,16-Feb,18,1,0,0
1,daf,3,7,8-Mar,D,16-Feb,20,1,0,0
1,daf,3,8,9-Mar,D,16-Feb,21,1,0,1
1,daf,3,9,9-Mar,D,16-Feb,21,1,0,1
1,daf,3,10,9-Mar,D,16-Feb,21,1,0,1
1,daf,3,11,11-Mar,D,16-Feb,23,1,0,1
1,ev,4,1,22-Feb,M,16-Feb,6,1,0,0
1,ev,4,2,22-Feb,M,16-Feb,6,1,0,0
1,ev,4,3,22-Feb,M,16-Feb,6,1,0,0
1,ev,4,4,1-Mar,D,16-Feb,13,1,0,0
1,ev,4,5,5-Mar,D,16-Feb,17,1,0,1
1,ev,4,6,9-Mar,D,16-Feb,21,1,0,0
1,ev,4,7,12-Mar,D,16-Feb,24,1,0,0
1,ev,4,8,13-Mar,D,16-Feb,25,1,0,0
1,daf,5,1,22-Feb,M,16-Feb,6,1,0,0
1,daf,5,2,02-Mar,D,16-Feb,14,1,0,0
1,daf,5,3,02-Mar,D,16-Feb,14,1,0,0
1,daf,5,4,5-Mar,D,16-Feb,17,1,0,0
1,daf,5,5,7-Mar,D,16-Feb,19,1,0,0
1,daf,5,6,8-Mar,D,16-Feb,20,1,0,0
1,daf,5,7,9-Mar,D,16-Feb,21,1,0,0
1,daf,5,8,13-Mar,D,16-Feb,25,1,0,0
1,ev,6,1,22-Feb,L,16-Feb,6,0,0,0
1,ev,6,2,3-Mar,D,16-Feb,15,1,0,0
1,ev,6,3,4-Mar,D,16-Feb,16,1,0,0
1,ev,6,4,4-Mar,D,16-Feb,16,1,0,0
1,ev,6,5,7-Mar,D,16-Feb,19,1,0,0
1,ev,6,6,9-Mar,D,16-Feb,21,1,0,0
1,ev,6,7,9-Mar,D,16-Feb,21,1,0,0
1,ev,6,8,9-Mar,D,16-Feb,21,1,0,0
1,daf,7,1,22-Feb,M,16-Feb,6,1,0,0
1,daf,7,2,22-Feb,M,16-Feb,6,1,0,0
1,daf,7,3,5-Mar,D,16-Feb,17,1,0,0
1,daf,7,4,6-Mar,D,16-Feb,18,1,0,0
1,daf,7,5,9-Mar,D,16-Feb,21,1,0,0
1,daf,7,6,13-Mar,D,16-Feb,25,1,0,0
1,daf,7,7,14-Mar,D,16-Feb,26,1,0,0
1,daf,7,8,20-Mar,D,16-Feb,32,1,0,0
1,ev,8,1,21-Feb,M,16-Feb,5,1,0,0
1,ev,8,2,26-Feb,D,16-Feb,10,1,0,0
1,ev,8,3,8-Mar,D,16-Feb,20,1,0,0
1,ev,8,4,9-Mar,D,16-Feb,21,1,0,0
1,ev,8,5,11-Mar,D,16-Feb,23,1,0,0
1,ev,8,6,11-Mar,D,16-Feb,23,1,0,0
1,ev,8,7,14-Mar,D,16-Feb,26,1,0,0
1,ev,8,8,15-Mar,D,16-Feb,27,1,0,0
1,ev,9,1,21-Feb,M,16-Feb,5,1,0,0
1,ev,9,2,21-Feb,M,16-Feb,5,1,0,0
1,ev,9,3,22-Feb,D,16-Feb,6,1,0,0
1,ev,9,4,2-Mar,D,16-Feb,14,1,0,0
1,ev,9,5,6-Mar,D,16-Feb,18,1,0,0
1,ev,9,6,8-Mar,D,16-Feb,20,1,0,0
1,ev,9,7,8-Mar,D,16-Feb,20,1,0,0
1,ev,9,8,8-Mar,D,16-Feb,20,1,0,0
1,ev,9,9,9-Mar,D,16-Feb,21,1,0,0
1,ev,10,1,24-Feb,M,16-Feb,8,1,0,0
