ID,Dev_ID,Treatment,D1,D2,D3,D4,D5,Matricide
1,1,daf,40,39,16,6,0,0
2,1,daf,30,24,0,0,0,1
3,1,daf,68,42,18,1,1,0
4,1,daf,47,36,19,8,0,0
5,1,daf,60,80,29,4,0,1
6,7,ev,40,54,6,0,0,1
7,8,daf,83,74,0,0,0,0
8,8,daf,106,137,5,0,0,0
9,8,daf,96,82,28,5,0,0
10,8,daf,82,98,11,0,0,0
11,10,daf,18,95,46,3,0,0
12,10,daf,56,58,16,2,0,0
13,10,daf,67,70,22,10,0,1
14,11,ev,96,80,3,1,0,1
15,11,ev,53,24,0,0,0,1
16,12,ev,33,57,3,0,0,0
17,12,ev,47,38,15,1,0,0
18,14,daf,50,47,3,2,0,1
19,1,daf,78,100,10,0,0,0
20,2,ev,68,76,7,3,0,0
21,7,ev,75,67,17,1,0,0
22,7,ev,133,83,0,1,0,0
23,10,daf,83,111,6,0,1,0
24,10,daf,107,108,4,0,0,0
25,12,ev,54,30,20,0,0,1
27,2,ev,76,35,12,0,0,1
28,2,ev,66,52,16,2,0,0
29,2,ev,69,58,20,1,0,0
30,10,daf,63,62,36,3,0,0
31,7,ev,72,23,0,0,0,1
32,7,ev,111,25,5,0,0,0
33,7,ev,107,74,11,0,0,1
34,7,ev,89,66,0,0,0,0
35,8,daf,95,89,11,0,0,0
36,8,daf,46,33,9,1,0,0
37,8,daf,49,26,11,0,0,0
39,12,ev,90,49,12,0,1,0
40,12,ev,77,99,16,8,0,1
41,8,daf,61,63,25,5,0,0
42,14,daf,61,41,17,7,0,1
43,14,daf,71,60,21,1,0,0
44,8,daf,89,103,1,1,0,0
45,11,ev,51,48,24,0,0,1
46,12,ev,98,138,4,0,0,0
47,11,ev,73,59,13,2,0,1
48,7,ev,81,96,27,13,0,0
49,10,daf,81,115,43,3,0,1
51,2,ev,122,99,15,1,0,0
52,2,ev,89,138,0,0,0,0
53,2,ev,79,80,25,9,0,1
54,2,ev,48,33,19,5,1,0
55,12,ev,28,11,0,0,0,1
56,12,ev,106,78,0,1,0,0
57,12,ev,71,52,0,0,0,0
58,12,ev,92,57,0,0,0,0
59,14,daf,68,112,17,4,0,0
60,14,daf,70,66,7,2,0,1
61,1,daf,91,103,2,0,0,0
62,1,daf,78,122,14,0,0,0
63,1,daf,97,105,5,2,1,0
64,7,ev,43,69,30,2,3,1
65,7,ev,NA,NA,NA,NA,NA,NA
66,11,ev,NA,NA,NA,NA,NA,NA
67,11,ev,NA,NA,NA,NA,NA,NA
68,11,ev,NA,NA,NA,NA,NA,NA
69,11,ev,138,60,0,0,0,0
70,11,ev,59,57,0,1,1,0
71,12,ev,67,80,11,4,0,1
72,1,daf,46,55,16,2,0,0
73,2,ev,65,68,13,2,0,0
74,2,ev,33,55,18,1,0,0
75,14,daf,25,91,19,0,0,0
76,14,daf,0,0,0,0,0,0
77,10,daf,22,58,7,0,0,0
78,7,ev,0,0,0,0,0,0
