Block,Strain,Treatment.ID,Plate.ID,Worm,Death.Date,Cause ,D1,Age ,Event,Exp,Inf
1,SKN-1,ev,1,1,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,ev,1,2,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,ev,1,3,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,ev,1,4,2-Mar,M,16-Feb,14,1,0,0
1,SKN-1,ev,1,5,5-Mar,D,16-Feb,17,1,0,0
1,SKN-1,ev,1,6,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,ev,1,7,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,ev,1,8,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,ev,1,9,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,1,10,12-Mar,D,16-Feb,24,1,0,0
1,SKN-1,ev,2,1,24-Feb,M,16-Feb,8,1,0,0
1,SKN-1,ev,2,2,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,ev,2,3,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,ev,2,4,2-Mar,D,16-Feb,14,1,0,0
1,SKN-1,ev,2,5,4-Mar,D,16-Feb,16,1,0,0
1,SKN-1,ev,2,6,5-Mar,D,16-Feb,17,1,0,0
1,SKN-1,ev,2,7,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,ev,2,8,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,ev,2,9,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,2,10,10-Mar,E,16-Feb,22,0,1,0
1,SKN-1,ev,3,1,24-Feb,M,16-Feb,8,1,0,0
1,SKN-1,ev,3,2,25-Feb,M,16-Feb,9,1,0,0
1,SKN-1,ev,3,3,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,ev,3,4,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,ev,3,5,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,ev,3,6,3-Mar,D,16-Feb,15,1,0,0
1,SKN-1,ev,3,7,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,ev,3,8,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,3,9,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,3,10,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,daf,4,1,24-Feb,M,16-Feb,8,1,0,0
1,SKN-1,daf,4,2,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,daf,4,3,2-Mar,D,16-Feb,14,1,0,0
1,SKN-1,daf,4,4,2-Mar,D,16-Feb,14,1,0,0
1,SKN-1,daf,4,5,4-Mar,D,16-Feb,16,1,0,0
1,SKN-1,daf,4,6,4-Mar,D,16-Feb,16,1,0,0
1,SKN-1,daf,4,7,4-Mar,D,16-Feb,16,1,0,0
1,SKN-1,daf,4,8,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,daf,4,9,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,daf,4,10,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,5,1,5-Mar,D,16-Feb,17,1,0,0
1,SKN-1,ev,5,2,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,ev,5,3,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,ev,5,4,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,ev,5,5,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,ev,5,6,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,ev,5,7,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,5,8,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,5,9,11-Mar,D,16-Feb,23,1,0,0
1,SKN-1,ev,5,10,11-Mar,D,16-Feb,23,1,0,0
1,SKN-1,daf,6,1,22-Feb,L,16-Feb,6,0,0,0
1,SKN-1,daf,6,2,02-Mar,L,16-Feb,14,0,0,0
1,SKN-1,daf,6,3,5-Mar,D,16-Feb,17,1,0,0
1,SKN-1,daf,6,4,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,6,5,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,6,6,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,6,7,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,daf,6,8,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,daf,6,9,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,daf,6,10,11-Mar,D,16-Feb,23,1,0,0
1,SKN-1,daf,7,1,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,daf,7,2,2-Mar,M,16-Feb,14,1,0,0
1,SKN-1,daf,7,3,4-Mar,D,16-Feb,16,1,0,0
1,SKN-1,daf,7,4,5-Mar,D,16-Feb,17,1,0,0
1,SKN-1,daf,7,5,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,7,6,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,7,7,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,daf,7,8,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,daf,7,9,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,daf,7,10,10-Mar,D,16-Feb,22,1,0,0
1,SKN-1,daf,8,1,27-Feb,M,16-Feb,11,1,0,0
1,SKN-1,daf,8,2,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,daf,8,3,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,daf,8,4,28-Feb,M,16-Feb,12,1,0,0
